央视卫视,#genre#
CCTV1,http://sx.liuyun.wang:88/live/ysp.php?id=cctv1
CCTV2,http://sx.liuyun.wang:88/live/ysp.php?id=cctv2
CCTV3,http://sx.liuyun.wang:88/live/ysp.php?id=cctv3
CCTV4,http://sx.liuyun.wang:88/live/ysp.php?id=cctv4
CCTV5,http://sx.liuyun.wang:88/live/ysp.php?id=cctv5
CCTV5+,http://sx.liuyun.wang:88/live/ysp.php?id=cctv5p
CCTV6,http://sx.liuyun.wang:88/live/ysp.php?id=cctv6
CCTV7,http://sx.liuyun.wang:88/live/ysp.php?id=cctv7
CCTV8,http://sx.liuyun.wang:88/live/ysp.php?id=cctv8
CCTV9,http://sx.liuyun.wang:88/live/ysp.php?id=cctv9
CCTV10,http://sx.liuyun.wang:88/live/ysp.php?id=cctv10
CCTV11,http://sx.liuyun.wang:88/live/ysp.php?id=cctv11
CCTV12,http://sx.liuyun.wang:88/live/ysp.php?id=cctv12
CCTV13,http://sx.liuyun.wang:88/live/ysp.php?id=cctv13
CCTV14,http://sx.liuyun.wang:88/live/ysp.php?id=cctv14
CCTV15,http://sx.liuyun.wang:88/live/ysp.php?id=cctv15
CCTV16,http://sx.liuyun.wang:88/live/ysp.php?id=cctv16
CCTV17,http://sx.liuyun.wang:88/live/ysp.php?id=cctv17
CCTV4k,http://sx.liuyun.wang:88/live/ysp.php?id=cctv4k
CCTV8k,http://sx.liuyun.wang:88/live/ysp.php?id=cctv8k
CCTV兵器科技,http://sx.liuyun.wang:88/live/ysp.php?id=bqkj
CCTV第一剧场,http://sx.liuyun.wang:88/live/ysp.php?id=dyjc
CCTV怀旧剧场,http://sx.liuyun.wang:88/live/ysp.php?id=hjjc
CCTV风云剧场,http://sx.liuyun.wang:88/live/ysp.php?id=fyjc
CCTV风云音乐,http://sx.liuyun.wang:88/live/ysp.php?id=fyyy
CCTV风云足球,http://sx.liuyun.wang:88/live/ysp.php?id=fyzq
CCTV电视指南,http://sx.liuyun.wang:88/live/ysp.php?id=dszn
CCTV央视文化精品,http://sx.liuyun.wang:88/live/ysp.php?id=whjp
CCTV世界地理,http://sx.liuyun.wang:88/live/ysp.php?id=sjdl
CCTV高尔夫网球,http://sx.liuyun.wang:88/live/ysp.php?id=gefwq
CCTV央视台球,http://sx.liuyun.wang:88/live/ysp.php?id=ystq
CCTV卫生健康,http://sx.liuyun.wang:88/live/ysp.php?id=wsjk
CGTN,http://sx.liuyun.wang:88/live/ysp.php?id=cgtn
CGTN纪录,http://sx.liuyun.wang:88/live/ysp.php?id=cgtnjl
CGTN西语,http://sx.liuyun.wang:88/live/ysp.php?id=cgtne
CGTN法语,http://sx.liuyun.wang:88/live/ysp.php?id=cgtnf
CGTN阿语,http://sx.liuyun.wang:88/live/ysp.php?id=cgtna
CGTN俄语,http://sx.liuyun.wang:88/live/ysp.php?id=cgtnr
CCTV1,http://sx.liuyun.wang:88/live/migu.php?id=cctv1
CCTV1,http://sx.liuyun.wang:88/live/migu.php?id=cctv1b
CCTV2,http://sx.liuyun.wang:88/live/migu.php?id=cctv2
CCTV4,http://sx.liuyun.wang:88/live/migu.php?id=cctv4
CCTV-4欧洲,http://sx.liuyun.wang:88/live/migu.php?id=cctv4o
CCTV-4美洲,http://sx.liuyun.wang:88/live/migu.php?id=cctv4a
CCTV5,http://sx.liuyun.wang:88/live/migu.php?id=cctv5
CCTV5,http://sx.liuyun.wang:88/live/migu.php?id=cctv5b
CCTV5+,http://sx.liuyun.wang:88/live/migu.php?id=cctv5p
CCTV6,http://sx.liuyun.wang:88/live/migu.php?id=cctv6
CCTV7,http://sx.liuyun.wang:88/live/migu.php?id=cctv7
CCTV10,http://sx.liuyun.wang:88/live/migu.php?id=cctv10
CCTV11,http://sx.liuyun.wang:88/live/migu.php?id=cctv11
CCTV15,http://sx.liuyun.wang:88/live/migu.php?id=cctv15
CGTN西语,http://sx.liuyun.wang:88/live/migu.php?id=cgtne
CGTN阿语,http://sx.liuyun.wang:88/live/migu.php?id=cgtna
北京卫视,http://sx.liuyun.wang:88/live/ysp.php?id=bjws
东方卫视,http://sx.liuyun.wang:88/live/migu.php?id=dfws2
重庆卫视,http://sx.liuyun.wang:88/live/migu.php?id=cqws
吉林卫视,http://sx.liuyun.wang:88/live/migu.php?id=jlws
辽宁卫视,http://sx.liuyun.wang:88/live/migu.php?id=lnws
内蒙古卫视,http://sx.liuyun.wang:88/live/migu.php?id=nmws
甘肃卫视,http://sx.liuyun.wang:88/live/migu.php?id=gsws
青海卫视,http://sx.liuyun.wang:88/live/migu.php?id=qhws
湖北卫视,http://sx.liuyun.wang:88/live/migu.php?id=hubws
江西卫视,http://sx.liuyun.wang:88/live/ysp.php?id=jxws
江苏卫视,http://sx.liuyun.wang:88/live/migu.php?id=jsws
广东卫视,http://sx.liuyun.wang:88/live/ysp.php?id=gdws
大湾区卫视,http://sx.liuyun.wang:88/live/migu.php?id=dwqws
新疆卫视,http://sx.liuyun.wang:88/live/ysp.php?id=xjws
西藏卫视,http://sx.liuyun.wang:88/live/migu.php?id=xzws
海南卫视,http://sx.liuyun.wang:88/live/migu.php?id=hinws
江苏卫视,http://sx.liuyun.wang:88/live/ysp.php?id=jsws
东方卫视,http://sx.liuyun.wang:88/live/ysp.php?id=dfws
浙江卫视,http://sx.liuyun.wang:88/live/ysp.php?id=zjws
湖南卫视,http://sx.liuyun.wang:88/live/ysp.php?id=hunws
湖北卫视,http://sx.liuyun.wang:88/live/ysp.php?id=hubws
广西卫视,http://sx.liuyun.wang:88/live/ysp.php?id=gxws
黑龙江卫视,http://sx.liuyun.wang:88/live/ysp.php?id=hljws
海南卫视,http://sx.liuyun.wang:88/live/ysp.php?id=hinws
重庆卫视,http://sx.liuyun.wang:88/live/ysp.php?id=cqws
深圳卫视,http://sx.liuyun.wang:88/live/ysp.php?id=szws
